,result,result,result,result,result,result,result,result,result,result,result,result,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,status,num_questions_right,passed,quiz_questions
,red_dad,hurt_tea,left_bread,lean_throat,frail_food,chief_scene,huge_depth,long_road,sweet_gate,parched_night,scarce_hair,smooth_love,red_dad,hurt_tea,left_bread,lean_throat,frail_food,chief_scene,huge_depth,long_road,sweet_gate,parched_night,scarce_hair,smooth_love,,,,
0,True,True,True,,True,True,,True,,True,,True,,,,,,,,,,,,,rejected_at_interview,8.0,True,"['extracurricular_activities', 'business_meeting', 'adoption', 'hackday', 'family_reunion', 'sports_team', 'book_club', 'negotiations']"
1,,False,,,,,,,,,,,,128.470956654,,,,,,,,,,,pending,0.0,False,"['book_club', 'hackday', 'game_night', 'extracurricular_activities', 'family_reunion', 'massage_therapist', 'adoption', 'business_meeting']"
2,,True,True,True,,,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['game_night', 'conference_swag', 'business_meeting', 'hackday', 'spilled_milk', 'massage_therapist', 'sports_team', 'book_club']"
3,True,False,,True,,,True,True,False,,False,False,,,,,,,,,,,,,rejected_at_logic_evaluation,4.0,False,"['book_club', 'massage_therapist', 'sports_team', 'game_night', 'adoption', 'spilled_milk', 'hackday', 'conference_swag']"
4,True,,,False,True,False,,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,6.0,True,"['adoption', 'extracurricular_activities', 'negotiations', 'massage_therapist', 'family_reunion', 'conference_swag', 'spilled_milk', 'hackday']"
5,True,True,True,,True,True,,True,,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'book_club', 'business_meeting', 'adoption', 'extracurricular_activities', 'negotiations', 'family_reunion', 'spilled_milk']"
6,True,,,,True,True,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'hackday', 'spilled_milk', 'sports_team', 'massage_therapist', 'game_night', 'extracurricular_activities', 'family_reunion']"
7,,True,True,True,False,True,,True,,,True,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'family_reunion', 'spilled_milk', 'hackday', 'conference_swag', 'sports_team', 'business_meeting', 'book_club']"
8,,True,True,False,False,True,True,True,True,,,,,,,,,,,,,,,,accepted_invitation,6.0,True,"['conference_swag', 'massage_therapist', 'business_meeting', 'book_club', 'extracurricular_activities', 'hackday', 'game_night', 'family_reunion']"
9,True,True,True,True,True,False,True,,,,,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['book_club', 'sports_team', 'adoption', 'conference_swag', 'business_meeting', 'game_night', 'extracurricular_activities', 'family_reunion']"
10,True,True,,,True,,True,True,True,,True,True,,,,,,,,,,,,,rejected_at_logic_evaluation,8.0,True,"['massage_therapist', 'adoption', 'spilled_milk', 'sports_team', 'extracurricular_activities', 'hackday', 'game_night', 'book_club']"
11,,True,True,True,False,,True,True,True,True,,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['hackday', 'negotiations', 'conference_swag', 'business_meeting', 'massage_therapist', 'game_night', 'extracurricular_activities', 'book_club']"
12,True,,True,,,True,,True,True,True,True,True,,,,,,,,,,,,,needs_to_schedule_interview,8.0,True,"['negotiations', 'business_meeting', 'massage_therapist', 'family_reunion', 'adoption', 'sports_team', 'spilled_milk', 'hackday']"
13,,True,True,True,True,True,,True,,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['spilled_milk', 'conference_swag', 'book_club', 'hackday', 'negotiations', 'extracurricular_activities', 'family_reunion', 'business_meeting']"
14,,True,,True,True,True,,,True,True,False,True,,645.111692657,,629.209897029,289.650674198,484.106064608,,,306.438764783,253.619407842,963.147809199,507.954098823,accepted_invitation,7.0,True,"['massage_therapist', 'conference_swag', 'family_reunion', 'negotiations', 'sports_team', 'extracurricular_activities', 'spilled_milk', 'book_club']"
15,False,,,,False,False,False,False,False,True,,False,,,,,,,,,,,,,declined_invitation,1.0,False,"['adoption', 'massage_therapist', 'family_reunion', 'extracurricular_activities', 'game_night', 'sports_team', 'hackday', 'negotiations']"
16,True,True,True,True,,True,,True,True,,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'conference_swag', 'adoption', 'sports_team', 'book_club', 'business_meeting', 'family_reunion', 'massage_therapist']"
17,True,,,True,True,,True,True,True,True,,True,,,,,,,,,,,,,declined_invitation,8.0,True,"['extracurricular_activities', 'adoption', 'conference_swag', 'hackday', 'sports_team', 'game_night', 'massage_therapist', 'negotiations']"
18,True,True,True,True,,True,True,,True,,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['business_meeting', 'adoption', 'book_club', 'game_night', 'family_reunion', 'massage_therapist', 'spilled_milk', 'conference_swag']"
19,,,True,True,,True,True,True,True,,True,False,,,,,,,,,,,,,accepted_invitation,7.0,True,"['spilled_milk', 'game_night', 'business_meeting', 'family_reunion', 'hackday', 'massage_therapist', 'sports_team', 'conference_swag']"
20,,True,False,True,False,,True,,,True,True,True,,,,,,,,,,,,,accepted_invitation,6.0,True,"['spilled_milk', 'book_club', 'game_night', 'conference_swag', 'extracurricular_activities', 'sports_team', 'negotiations', 'business_meeting']"
21,True,True,,True,True,,,True,True,False,True,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['book_club', 'negotiations', 'adoption', 'conference_swag', 'spilled_milk', 'massage_therapist', 'extracurricular_activities', 'hackday']"
22,True,True,False,True,True,True,True,True,,,,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['adoption', 'book_club', 'family_reunion', 'game_night', 'extracurricular_activities', 'business_meeting', 'hackday', 'conference_swag']"
